compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes,thalf_pred,CL_pred,Vd_pred,log10_obs,log10_pred,fold_error,abs_log_err,disposition,within_2fold,fold_error_ratio,within_2fold_clean,outlier
Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,2140.0,80.0,PubChem,PubChem: halflife is reported to be 20-140 hours,1.41,1.5772,0.1925,1.9030899869919435,0.1492191126553798,0.017625,1.7538708743365636,multi_compartment,False,56.73758865248227,False,True
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4763.0,118.0,PubChem,PubChem: Half Life: 53 to 118 hours,2.13,3.2043,0.5908,2.0718820073061255,0.3283796034387377,0.0180508474576271,1.7435024038673876,standard,False,55.399061032863855,False,True
Tiludronic Acid,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,60937.0,150.0,PubChem,PubChem: half-life is 150 hours,3.253,1.8982,0.5346,2.1760912590556813,0.5122840632818536,0.0216866666666666,1.6638071957738276,standard,False,46.111281893636644,False,True
Zoledronic Acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,68740.0,146.0,PubChem,PubChem: Half Life: 146 hours,5.432,1.9258,0.9057,2.164352855784437,0.7349597612724453,0.0372054794520547,1.4293930945119917,standard,False,26.877761413843885,False,True
Linagliptin,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,10096344.0,155.0,PubChem,PubChem: half life of linagliptin is 155 hours,5.986,3.626,1.8794,2.1903316981702914,0.7771367125041726,0.0386193548387096,1.413194985666119,standard,False,25.893752088205815,False,True
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4737.0,50.0,PubChem,PubChem: Half Life: 5 to 50 hours,2.082,4.9237,0.8877,1.6989700043360187,0.3184807251745173,0.0416399999999999,1.3804892791615015,standard,False,24.015369836695488,False,True
Perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,9924495.0,105.0,PubChem,PubChem: half-life of about 105 hours,4.505,1.9913,0.7767,2.0211892990699383,0.6536947953150818,0.0429047619047619,1.3674945037548565,standard,False,23.307436182019977,False,True
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,464205.0,32.0,PubChem,PubChem: half-life of tenofovir is of 32 hours,1.46,3.5388,0.4472,1.505149978319906,0.1643528557844371,0.045625,1.340797122535469,standard,False,21.91780821917808,False,True
Treprostinil,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,6918140.0,10.0,PubChem,"PubChem: t 100%, and it reaches steady-state concentrations in approximately 10 hours",0.488,7.764,0.3279,1.0,-0.3115801779972894,0.0487999999999999,1.311580177997289,standard,False,20.491803278688526,False,True
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,896.0,0.1,PubChem,PubChem: half-life (0.67 +/- 0.12 vs. 0.79 +/- 0.10 hr,1.418,8.9261,1.0961,-1.0,0.1516762308470477,14.179999999999998,1.1516762308470476,standard,True,14.179999999999998,False,True
Cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,47965.0,12.0,FDA,FDA label: t 12 hours,0.97,2.9336,0.2463,1.0791812460476249,-0.0132282657337551,0.0808333333333333,1.09240951178138,standard,False,12.371134020618557,False,True
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,60795.0,110.5,PubChem,PubChem: Half Life: 75-146 hours,9.174,3.6524,2.901,2.04336227802113,0.9625587357959636,0.0830226244343891,1.0808035422251658,standard,False,12.044909526923917,False,True
Gilteritinib,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,49803313.0,102.0,PubChem,PubChem: half-life of gilteritinib was of approximate 45-159 hours,8.753,4.45,3.3723,2.0086001717619175,0.9421569284674904,0.085813725490196,1.066443243294427,standard,False,11.653147492288358,False,True
Nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1,4450.0,72.0,PubChem,"PubChem: t 12, 24, 48, and 72 hours",6.2,10.0361,5.3871,1.8573324964312683,0.7923916894982539,0.0861111111111111,1.0649408069330146,standard,False,11.612903225806452,False,True
Clorazepic Acid,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,2809.0,24.0,PubChem,PubChem: HALF-LIFE IS ABOUT 24 HR,2.118,1.1281,0.2069,1.380211241711606,0.3259259557714661,0.08825,1.05428528594014,standard,False,11.3314447592068,False,True
Roflumilast,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,449193.0,30.0,FDA,FDA label: half-life of roflumilast and its N-oxide metabolite are approximately 17 and 30 hours,2.78,2.9435,0.7084,1.4771212547196624,0.4440447959180762,0.0926666666666666,1.0330764588015862,standard,False,10.79136690647482,False,True
Eptifibatide,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,448812.0,0.17,PubChem,PubChem: half-life of 5 +/- 2.5 minutes and a mean terminal elimination half-life of 1.13 +/- 0.17 hours,1.573,1.9637,0.2675,-0.769551078621726,0.1967287226232868,9.252941176470587,0.9662798012450128,standard,True,9.252941176470587,False,True
Diazoxide,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,3019.0,24.0,PubChem,PubChem: half-life of diazoxide varies from 9.5 to 24 hours,2.623,2.2116,0.5023,1.380211241711606,0.4187982905903536,0.1092916666666666,0.9614129511212524,standard,False,9.149828440716735,False,True
Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,5284627.0,23.0,PubChem,PubChem: Half Life: 19 to 23 hours,2.525,3.2605,0.7128,1.3617278360175928,0.4022613824546802,0.1097826086956521,0.9594664535629128,standard,False,9.10891089108911,False,True
Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21,4926.0,1.5,PubChem,PubChem: T 1-2 HR,12.071,12.9298,13.5128,0.1760912590556812,1.081743249922721,8.047333333333333,0.9056519908670398,standard,True,8.047333333333333,False,True
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4583.0,38.5,PubChem,"PubChem: half-life, determined in the dialysis-free interval (t1/2 beta) and during the haemodialysis session (t1/2 HD), was 38.5",4.92,2.9637,1.2626,1.5854607295085006,0.6919651027673603,0.1277922077922078,0.8934956267411404,standard,False,7.82520325203252,False,True
Lomitapide,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,9853053.0,39.7,PubChem,PubChem: half-life is 39.7 hours,5.379,3.0784,1.4337,1.5987905067631152,0.7307015442818453,0.1354911838790931,0.8680889624812699,standard,False,7.380554006320879,False,True
Drotaverine,CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC,1712095.0,1.29,PubChem,PubChem: half-life was 9.11 ± 1.29 hours,9.242,4.4575,3.5667,0.1105897102992489,0.9657659641826862,7.164341085271318,0.8551762538834372,standard,True,7.164341085271318,False,True
Vortioxetine,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,9966051.0,65.8,PubChem,PubChem: half-life was 65.8 hr,9.733,9.5842,8.0763,1.8182258936139557,0.9882467233753784,0.1479179331306991,0.8299791702385771,standard,False,6.760505496763587,False,True
Tocainide,Cc1cccc(C)c1NC(=O)C(C)N,38945.0,15.0,PubChem,PubChem: half-life in patients is approximately 15 hours,2.263,7.3629,1.4424,1.1760912590556811,0.3546845539547286,0.1508666666666666,0.8214067051009527,standard,False,6.628369421122404,False,True
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,667484.0,12.0,PubChem,PubChem: t 12 hours,1.849,13.0095,2.0824,1.0791812460476249,0.266936911159173,0.1540833333333333,0.8122443348884518,standard,False,6.489994591671174,False,True
Iopromide,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,3736.0,0.24,PubChem,PubChem: half-life of 0.24 hours,1.551,2.2671,0.3044,-0.619788758288394,0.1906117978136049,6.4625,0.8104005561019989,multi_compartment,True,6.4625,False,True
Dabigatran,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,216210.0,1.0,PubChem,PubChem: t 1 hour,5.987,1.5285,0.7923,0.0,0.7772092581456849,5.987,0.7772092581456849,standard,True,5.987,False,True
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,4173.0,12.0,PubChem,PubChem: half-life (about 12 hr,2.13,3.6394,0.6712,1.0791812460476249,0.3283796034387377,0.1775,0.7508016426088872,standard,False,5.633802816901409,False,True
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,4205.0,30.0,PubChem,PubChem: Half Life: 20-40 hours,5.363,11.6814,5.4243,1.4771212547196624,0.7294077969630681,0.1787666666666666,0.7477134577565943,standard,False,5.593884020137982,False,True
Ganirelix,CCNC(=NCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCN=C(NCC)NCC)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CO)NC(=O)[C@H](Cc1cccnc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O)NCC,16130957.0,13.0,PubChem,PubChem: half-life (t½) following subcutaneous administration of a single 250-mcg dose is approximately 13 hours,2.402,2.5194,0.5241,1.1139433523068367,0.3805730030668873,0.1847692307692307,0.7333703492399495,standard,False,5.4121565362198165,False,True
Idarubicin,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,42890.0,45.0,FDA,FDA label: half-life exceeds 45 hours,8.344,14.1608,10.2299,1.6532125137753435,0.9213742954184744,0.1854222222222222,0.7318382183568692,standard,False,5.393096836049857,False,True
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,5253.0,15.0,PubChem,PubChem: half life is 10-20 hours,2.798,5.6654,1.3725,1.1760912590556811,0.4468477101558088,0.1865333333333333,0.7292435488998724,standard,False,5.36097212294496,False,True
Daptomycin,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)NC(CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,21585658.0,8.25,PubChem,"PubChem: half-life, with ranges of 7.5-9 hours",1.54,0.7482,0.0997,0.9164539485499252,0.187520720836463,0.1866666666666666,0.728933227713462,standard,False,5.357142857142857,False,True
Tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,5381.0,18.0,PubChem,"PubChem: half-life of the active form of the drug, tazarotenic acid, is approximately 18 hours",3.431,12.5647,3.7321,1.255272505103306,0.5354207180561734,0.1906111111111111,0.7198517870471327,standard,False,5.246283882250073,False,True
Nizatidine,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,4513.0,10.0,PubChem,PubChem: Half life is 10 hours,2.014,6.9667,1.2148,1.0,0.3040594662175991,0.2013999999999999,0.6959405337824008,standard,False,4.96524329692155,False,True
Palonosetron,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,6337614.0,40.0,FDA,FDA label: half-life is approximately 40 hours,8.558,4.4773,3.3175,1.6020599913279625,0.932372282147914,0.21395,0.6696877091800484,standard,False,4.673989249824725,False,True
Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,13.0,PubChem,PubChem: half-life of 13 hr,2.822,4.1163,1.0057,1.1139433523068367,0.450557009418329,0.217076923076923,0.6633863428885077,standard,False,4.6066619418851875,False,True
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,3356.0,20.0,PubChem,PubChem: Half Life: 20 hours,4.469,2.9871,1.1558,1.3010299956639813,0.6502103546603591,0.22345,0.650819641003622,standard,False,4.47527411053927,False,True
Bazedoxifene,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,154257.0,17.0,FDA,FDA label: half-life of approximately 17 hours,3.807,14.626,4.8213,1.230448921378274,0.5805828768143672,0.2239411764705882,0.6498660445639067,standard,False,4.465458366167586,False,True
Nitrofurantoin,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,6604200.0,1.0,PubChem,PubChem: HALF-LIFE IS 0.3 TO 1 HR,4.415,1.8737,0.7162,0.0,0.6449307079135874,4.415,0.6449307079135874,standard,True,4.415,False,True
Heroin,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,5462328.0,0.6,PubChem,PubChem: half life is 3 minutes for heroin and 0.6 hours,2.608,6.2047,1.4011,-0.2218487496163564,0.4163075870598826,4.346666666666667,0.6381563366762389,standard,True,4.346666666666667,False,True
Trandolapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@@H]2CCCC[C@@H]2C[C@H]1C(=O)O,5484727.0,6.0,PubChem,PubChem: half-life of trandolapril is about 6 hours,1.387,3.6029,0.4327,0.7781512503836436,0.1420764610732848,0.2311666666666666,0.6360747893103588,standard,False,4.325883201153569,False,True
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1775.0,22.0,PubChem,PubChem: Half Life: 22 hours,5.307,1.4024,0.6444,1.3424226808222062,0.7248490876293856,0.2412272727272727,0.6175735931928207,standard,False,4.145468249481816,False,True
Guanfacine,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,3519.0,17.0,PubChem,PubChem: half life of 17 hours,4.143,3.8514,1.3816,1.230448921378274,0.6173149332982937,0.2437058823529411,0.6131339880799802,standard,False,4.103306782524741,False,True
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2118.0,16.6,PubChem,PubChem: Half Life: 6.3-26.9 hours,4.102,2.5216,0.8956,1.2201080880400552,0.6129956560323475,0.2471084337349397,0.6071124320077076,standard,False,4.0468064358849345,False,True
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,5546.0,1.1,PubChem,PubChem: t 148.7 ng*hr/mL and the mean peak plasma concentrations (Cmax) were 46.4 ng/mL reached at 1.1 hour,4.291,4.0614,1.5088,0.041392685158225,0.6325585145326719,3.900909090909091,0.5911658293744468,standard,True,3.900909090909091,False,True
Methylergometrine,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,8226.0,0.82,PubChem,PubChem: t 1.12 +/- 0.82 hours,3.139,6.8528,1.8621,-0.0861861476162833,0.4967913157000424,3.828048780487805,0.5829774633163257,standard,True,3.828048780487805,False,True
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,135398513.0,5.0,PubChem,PubChem: half life of acyclovir during hemodialysis is approximately 5 hours,1.328,5.5134,0.6338,0.6989700043360189,0.1231980750319987,0.2656,0.5757719293040201,standard,False,3.765060240963855,False,True
Degarelix,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(NC(=O)[C@H]2CC(=O)NC(=O)N2)cc1)C(=O)N[C@H](Cc1ccc(NC(N)=O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C)C(N)=O,16136245.0,32.9,PubChem,PubChem: half-life: 41.5 - 70.2 days;  Absorption half-life: 32.9 hours,8.82,0.6248,0.4771,1.5171958979499742,0.9454685851318196,0.2680851063829787,0.5717273128181546,standard,False,3.73015873015873,False,True
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,4158.0,1.0,PubChem,PubChem: t 1 hour,3.476,7.7303,2.3266,0.0,0.5410797677766288,3.476,0.5410797677766288,standard,True,3.476,False,True
Ceftolozane,Cn1c(=N)c(NC(=O)NCCN)cn1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c3nsc(N)n3)[C@H]2SC1,53234134.0,4.0,FDA,FDA label: half-life of approximately 3 to 4 hours,13.785,1.341,1.6005,0.6020599913279624,1.1394067704417925,3.44625,0.5373467791138301,standard,True,3.44625,False,True
Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,36314.0,24.0,PubChem,PubChem: Half Life: When a 24 hour,7.336,5.9295,3.7664,1.380211241711606,0.8654593226619647,0.3056666666666667,0.5147519190496413,standard,False,3.271537622682661,False,True
Atovaquone,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,74989.0,35.3,FDA,FDA label: half-life of atovaquone was 62.5 ± 35.3 hours,10.823,0.819,0.7674,1.5477747053878226,1.0343476584468485,0.306600566572238,0.5134270469409743,standard,False,3.261572576919523,False,True
Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,60648.0,8.0,PubChem,PubChem: Half Life: 7-9 hours,2.53,2.8017,0.6137,0.9030899869919436,0.4031205211758178,0.31625,0.4999694658161257,standard,False,3.16205533596838,False,True
Alosetron,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,2099.0,1.0,FDA,FDA label: t 1 hour,3.123,5.2627,1.4229,0.0,0.4945719842301986,3.123,0.4945719842301986,standard,True,3.123,False,True
Zanamivir,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N,60855.0,5.1,PubChem,PubChem: half-life of zanamivir following administration by oral inhalation ranges from 2.5 to 5.1 hours,1.663,2.2352,0.3218,0.7075701760979364,0.2208922492195192,0.326078431372549,0.4866779268784171,standard,False,3.06674684305472,False,True
Ropivacaine,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,175805.0,4.2,PubChem,PubChem: Half Life: Approximately 4.2 hours,1.376,7.4397,0.8866,0.6232492903979004,0.1386184338994924,0.3276190476190476,0.484630856498408,standard,False,3.0523255813953494,False,True
Mexiletine,Cc1cccc(C)c1OCC(C)N,4178.0,12.0,PubChem,PubChem: half-life of 10 to 12 hours,4.004,8.62,2.9883,1.0791812460476249,0.602494068807281,0.3336666666666666,0.4766871772403439,standard,False,2.997002997002997,False,True
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,126941.0,10.0,PubChem,PubChem: Half Life: Low doses (less than 30 mg/m^2): 3 to 10 hours,3.456,3.6403,1.0892,1.0,0.5385737338068557,0.3456,0.4614262661931443,multi_compartment,False,2.8935185185185186,False,True
Ciclesonide,CC(C)C(=O)OCC(=O)[C@]12O[C@@H](C3CCCCC3)O[C@@H]1C[C@@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,6918155.0,0.71,FDA,FDA label: half-life of ciclesonide and des-ciclesonide was 0.71 hours,2.049,8.5538,1.5172,-0.1487416512809247,0.311541958401195,2.8859154929577464,0.4602836096821197,standard,True,2.8859154929577464,False,True
Hydralazine,NNc1nncc2ccccc12,3637.0,5.0,PubChem,PubChem: half life of 2.2-7.8h,1.774,7.4654,1.1464,0.6989700043360189,0.2489536154957076,0.3548,0.4500163888403112,standard,False,2.818489289740699,False,True
Edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,10280735.0,10.0,PubChem,PubChem: half-life of 9-11 hours,3.588,2.7513,0.8547,1.0,0.5548524343720544,0.3588,0.4451475656279455,standard,False,2.7870680044593086,False,True
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,5556.0,3.4,PubChem,PubChem: half-life with a reported mean apparent half-life of 3.4 hr,9.322,2.0189,1.6294,0.5314789170422551,0.9695090985965668,2.741764705882353,0.4380301815543116,standard,True,2.741764705882353,False,True
Imidafenacin,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,6433090.0,3.0,PubChem,PubChem: half life of elimination is 3 h,8.126,2.3115,1.6263,0.4771212547196624,0.9098768179903928,2.7086666666666663,0.4327555632707303,standard,True,2.7086666666666663,False,True
Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,36462.0,1.5,PubChem,PubChem: half-life of 1.5 hours,4.038,0.9605,0.3358,0.1760912590556812,0.6061663146076205,2.692,0.4300750555519392,standard,True,2.692,False,True
Octreotide,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,448601.0,2.08,PubChem,PubChem: t 1.67–2.5 hours,0.78,3.9089,0.2639,0.3180633349627615,-0.1079053973095195,0.375,0.4259687322722811,standard,False,2.6666666666666665,False,True
Metformin,CN(C)C(=N)N=C(N)N,4091.0,6.2,PubChem,PubChem: half-life of metformin averages approximately 6.2 hours,2.375,5.2324,1.0757,0.7923916894982539,0.3756636139608854,0.3830645161290322,0.4167280755373685,renal_tubular,False,2.610526315789474,False,True
Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4634.0,1.0,PubChem,PubChem: t 1 hour,2.503,7.3043,1.5827,0.0,0.3984608496082232,2.503,0.3984608496082232,standard,True,2.503,False,True
Anidulafungin,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,166548.0,45.0,PubChem,PubChem: Half Life: 40-50 hours,18.339,0.3531,0.5606,1.6532125137753435,1.263375650509443,0.4075333333333333,0.389836863265901,standard,False,2.4537870112874205,False,True
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2520.0,9.2,PubChem,PubChem: half-life (9.8 vs 9.2 hr,3.815,7.1423,2.3589,0.9637878273455552,0.5814945422908993,0.4146739130434783,0.382293285054656,standard,False,2.4115334207077326,False,True
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,44093.0,4.4,PubChem,PubChem: half-life of captopril was 4.4 hr,1.921,2.8796,0.4789,0.6434526764861874,0.2835273648616936,0.4365909090909091,0.3599253116244937,standard,False,2.2904737116085374,False,True
Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,60838.0,12.0,PubChem,"PubChem: T11) can be described by a 2 or 3 compartment model, a mean terminal half-life of 12 hours",5.317,5.8374,2.6871,1.0791812460476249,0.7256666603141786,0.4430833333333333,0.3535145857334462,standard,False,2.256911792364115,False,True
Nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],4499.0,4.3,FDA,FDA label: half-life (reflecting post absorption clearance of nisoldipine) ranges from 13.7 ± 4.3 hours,1.91,11.1741,1.8479,0.6334684555795865,0.2810333672477275,0.4441860465116279,0.352435088331859,standard,False,2.25130890052356,False,True
