compound_name,smiles,cid,thalf_h,thalf_source,thalf_notes,thalf_pred,CL_pred,Vd_pred,log10_obs,log10_pred,fold_error,abs_log_err,disposition,within_2fold,fold_error_ratio,within_2fold_clean,outlier
Darifecin,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,444031.0,16.0,PubChem,PubChem: Half Life: The elimination half-life of darifenacin following chronic dosing is approximately 13-19 hours,7.177,5.012,3.1141,1.2041199826559248,0.855942946232316,0.4485625,0.3481770364236087,standard,False,2.229343736937439,False,True
Vinorelbine,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,5311497.0,43.6,PubChem,PubChem: half-life averaged 27.7 to 43.6 hours,20.178,6.2163,10.8598,1.639486489268586,1.304878117698279,0.4627981651376147,0.3346083715703068,standard,False,2.16076915452473,False,True
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5533.0,8.0,PubChem,PubChem: t 1.88 +/- 0.42 micrograms/mL. The average Tmax after a single dose of 300 mg was 8 hours,3.723,3.9969,1.2883,0.9030899869919436,0.5708930362183923,0.465375,0.3321969507735513,standard,False,2.1488047273704005,False,True
Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,4539.0,7.6,PubChem,"PubChem: half-life is prolonged. In adults with renal impairment, the half-life of norfloxacin averaged 4.4, 6.6, or 7.6 hours",3.617,4.335,1.3574,0.8808135922807914,0.5583485087616197,0.4759210526315789,0.3224650835191716,standard,False,2.1011888305225326,False,True
Tezosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,151174.0,3.0,PubChem,"PubChem: half-life 6 min), accounting for the major part of the elimination, was followed by a slower phase (half-life 3 h",1.438,3.5984,0.448,0.4771212547196624,0.1577588860468637,0.4793333333333333,0.3193623686727986,standard,False,2.086230876216968,False,True
Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4680.0,6.0,PubChem,"PubChem: half-life vary widely, reasonably constant plasma levels can be maintained with oral administration at 6 hour",2.89,6.1667,1.543,0.7781512503836436,0.4608978427565479,0.4816666666666667,0.3172534076270957,standard,False,2.0761245674740483,False,True
Ergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,8223.0,2.0,PubChem,PubChem: Half Life: 2 hours,0.976,7.5558,0.6387,0.3010299956639812,-0.0105501823333081,0.488,0.3115801779972894,standard,False,2.0491803278688523,False,True
Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,54687.0,1.8,PubChem,PubChem: half-life of pravastatin is reported to be of 1.8 hours,0.889,6.0006,0.4618,0.255272505103306,-0.0510982390297863,0.4938888888888889,0.3063707441330924,standard,False,2.0247469066366706,False,True
Piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,43672.0,2.0,FDA,FDA label: T 1/2 h,1.008,2.3821,0.2078,0.3010299956639812,0.0034605321095064,0.504,0.2975694635544747,standard,True,1.9841269841269842,True,False
Dicloxacillin,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,18381.0,1.54,PubChem,PubChem: half-life (t1/2) was in the range of 1.38-1.71 hours,0.786,2.7761,0.1889,0.187520720836463,-0.104577453960592,0.5103896103896104,0.2920981747970552,standard,True,1.9592875318066156,True,False
Gestodene,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3033968.0,18.0,PubChem,PubChem: t 18 hours,9.253,2.1665,1.7357,1.255272505103306,0.9662825621674632,0.5140555555555556,0.2889899429358427,standard,True,1.9453150329622826,True,False
Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,2585.0,8.5,PubChem,PubChem: half life of carvedilol is between 7-10 hours,4.4,4.9722,1.8943,0.9294189257142929,0.6434526764861874,0.5176470588235295,0.2859662492281052,standard,True,1.9318181818181817,True,False
Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,5394.0,1.8,PubChem,PubChem: half-life than in buffer (1 versus 1.8 hours,3.39,2.4275,0.7124,0.255272505103306,0.5301996982030822,1.8833333333333333,0.2749271930997761,standard,True,1.8833333333333333,True,False
Olsalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,22419.0,0.9,FDA,"FDA label: half-life, approximately 0.9 hour",1.695,1.082,0.1588,-0.0457574905606751,0.229169702539101,1.8833333333333333,0.2749271930997761,standard,True,1.8833333333333333,True,False
Methimazole,Cn1cc[nH]c1=S,1349907.0,4.0,PubChem,PubChem: half-life is 3-5 hr,2.18,8.4576,1.5961,0.6020599913279624,0.3384564936046048,0.545,0.2636034977233575,standard,True,1.8348623853211008,True,False
Vilanterol,OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,10184665.0,11.0,PubChem,"PubChem: half-life for vilanterol, as determined from inhalation administration of multiple doses, is 11 hours",6.112,13.039,6.9002,1.0413926851582251,0.7861833455676335,0.5556363636363636,0.2552093395905915,standard,True,1.799738219895288,True,False
Perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4748.0,10.0,PubChem,PubChem: Half Life: 8-12 hours,17.94,8.9434,13.8911,1.0,1.2538224387080734,1.794,0.2538224387080733,standard,True,1.794,True,False
Clozepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2802.0,35.0,PubChem,PubChem: Half Life: 30-40 hours,19.674,0.5792,0.9866,1.5440680443502757,1.2938926670530089,0.5621142857142857,0.2501753772972668,standard,True,1.7789976618887873,True,False
Desmopressin,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,5311065.0,1.0,PubChem,PubChem: t 1 hour,1.764,2.6212,0.4004,0.0,0.2464985807958009,1.764,0.2464985807958009,standard,True,1.764,True,False
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,5755.0,2.8,PubChem,PubChem: half life is 2.1-3.5 hours,1.588,4.7549,0.6537,0.4471580313422192,0.2008504980910774,0.5671428571428572,0.2463075332511417,standard,True,1.7632241813602012,True,False
lbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,5311304.0,5.0,PubChem,PubChem: Half Life: The plasma half-life of nalbuphine is 5 hours,2.863,17.0044,4.2156,0.6989700043360189,0.4568213480215986,0.5726,0.2421486563144201,standard,True,1.7464198393293748,True,False
Dacarbazine,CN(C)N=Nc1[nH]cnc1C(N)=O,135398738.0,5.0,PubChem,PubChem: half-life of 19 minutes and a terminal half-life of 5 hours,2.884,3.3454,0.8353,0.6989700043360189,0.4599952560473914,0.5768,0.2389747482886274,standard,True,1.7337031900138697,True,False
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4095.0,10.0,PubChem,PubChem: t 10 hours,5.786,6.0161,3.0135,1.0,0.7623784293119641,0.5786,0.2376215706880358,standard,True,1.7283097131005878,True,False
Amphetamine (-d),CC(N)Cc1ccccc1,3007.0,12.0,PubChem,PubChem: t 12 hours,7.055,7.925,4.8406,1.0791812460476249,0.8484970180903666,0.5879166666666666,0.2306842279572582,standard,True,1.7009213323883772,True,False
Nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,4449.0,8.3,PubChem,PubChem: half-life for nefazodone was 8.3 hours,4.893,3.5229,1.4925,0.919078092376074,0.6895752157599382,0.5895180722891565,0.2295028766161357,standard,True,1.6963008379317395,True,False
Levomepromazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,72287.0,20.0,PubChem,PubChem: Half Life: Approximately 20 hours,11.948,10.3278,10.6834,1.3010299956639813,1.0772952139320906,0.5974,0.2237347817318905,standard,True,1.6739203213927016,True,False
Bleomycin,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](OC(N)=O)[C@H]1O)c1c[nH]cn1,5360373.0,2.0,PubChem,PubChem: half-life of bleomycin is about 2 hours,3.344,1.0467,0.3031,0.3010299956639812,0.5242662687669788,1.672,0.2232362731029975,multi_compartment,True,1.672,True,False
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,149096.0,8.0,PubChem,PubChem: half-life of levofloxacin ranges from approximately 6 to 8 hours,4.785,3.0231,1.2526,0.9030899869919436,0.6798819421128623,0.598125,0.2232080448790812,renal_tubular,True,1.6718913270637408,True,False
Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,77993.0,4.0,PubChem,PubChem: half-life of eletriptan is approximately 4 hours,6.683,5.4816,3.1715,0.6020599913279624,0.8249714611236932,1.67075,0.2229114697957309,standard,True,1.67075,True,False
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,5288826.0,3.0,PubChem,PubChem: Half Life: 2-4 hours,1.825,13.3937,2.1168,0.4771212547196624,0.2612628687924935,0.6083333333333333,0.2158583859271689,enterohepatic,True,1.6438356164383563,True,False
Isradipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,3784.0,1.5,FDA,FDA label: t 1.5 hours,2.463,8.7514,1.8663,0.1760912590556812,0.3914644118391032,1.642,0.215373152783422,standard,True,1.6420000000000001,True,False
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,5284570.0,2.5,PubChem,PubChem: half-life of about 2.5 hours,1.535,14.9376,1.9852,0.3979400086720376,0.1861083798132052,0.614,0.2118316288588323,standard,True,1.6286644951140066,True,False
Tegafur,O=c1[nH]c(=O)n(C2CCCO2)cc1F,5386.0,1.0,PubChem,PubChem: t 1 hour,1.622,4.7089,0.6614,0.0,0.2100508498751372,1.622,0.2100508498751372,standard,True,1.622,True,False
Meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,54677470.0,17.5,PubChem,PubChem: Half Life: 15-20 hours,10.799,0.216,0.202,1.2430380486862944,1.0333835411731191,0.6170857142857142,0.2096545075131753,standard,True,1.620520418557274,True,False
Rocuronium,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,441290.0,1.1,FDA,FDA label: half-life of rocuronium bromide decreases with increasing age from 1.1 hour,1.757,4.5699,0.6952,0.041392685158225,0.2447717614952949,1.597272727272727,0.2033790763370698,standard,True,1.597272727272727,True,False
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,10182969.0,12.0,PubChem,PubChem: half-life of approximately 12 hours,7.524,3.2256,2.1011,1.0791812460476249,0.8764487868783413,0.627,0.2027324591692835,standard,True,1.594896331738437,True,False
Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,5505.0,5.0,PubChem,PubChem: HALF-LIFE OF TOLBUTAMIDE IS ABOUT 5 HR,7.836,0.4186,0.284,0.6989700043360189,0.8940944273226987,1.5672,0.1951244229866799,standard,True,1.5672000000000001,True,False
Miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4189.0,24.0,PubChem,PubChem: half-life of 24 hours,15.503,3.2164,4.3172,1.380211241711606,1.1904157470332903,0.6459583333333333,0.1897954946783157,standard,True,1.5480874669418823,True,False
Azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,2265.0,5.0,PubChem,PubChem: half life of azathioprine is approximately 5 hours,3.28,2.9259,0.8309,0.6989700043360189,0.5158738437116791,0.6559999999999999,0.1830961606243397,standard,True,1.524390243902439,True,False
Pixantrone,NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,134019.0,31.9,PubChem,PubChem: Half life ranges from 14.7 to 31.9 hours,22.122,6.1382,11.7564,1.503790683057181,1.34482438798976,0.6934796238244514,0.158966295067421,standard,True,1.4420034354940783,True,False
Terlipressin,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,72081.0,0.9,PubChem,PubChem: half-life of terlipressin was 0.9 hours,1.291,3.0245,0.338,-0.0457574905606751,0.1109262422664202,1.4344444444444444,0.1566837328270954,standard,True,1.4344444444444444,True,False
Pentazocine,CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1C2C,441278.0,3.0,PubChem,PubChem: Half Life: 2 to 3 hours,2.106,21.7656,3.9683,0.4771212547196624,0.3234583668494676,0.702,0.1536628878701947,standard,True,1.4245014245014247,True,False
Ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,3821.0,2.5,PubChem,PubChem: half-life of ketamine (beta phase) is 2.5 hours,3.556,5.0602,1.558,0.3979400086720376,0.5509617522981761,1.4224,0.1530217436261385,standard,True,1.4224,True,False
Iopamidol,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,65492.0,1.67,PubChem,PubChem: Half-life beta was equal to 1.67 h,1.239,2.2917,0.2458,0.2227164711475832,0.0930713063760634,0.7419161676646707,0.1296451647715197,multi_compartment,True,1.3478611783696528,True,False
Quinine,C=CC1CN2CC[C@H]1CC2C(O)c1ccnc2ccc(OC)cc12,3034034.0,11.1,PubChem,PubChem: half-life was 9.7-12.5 hours,8.275,3.5449,2.5398,1.0453229787866574,0.9177680024477564,0.7454954954954955,0.127554976338901,standard,True,1.3413897280966767,True,False
Deferasirox,O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccc(C(=O)O)cc2)N1,214348.0,2.75,PubChem,PubChem: t 1.5-4 hours,2.061,1.4131,0.2522,0.4393326938302626,0.3140779917792128,0.7494545454545455,0.1252547020510497,standard,True,1.334303736050461,True,False
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,5284371.0,3.0,PubChem,PubChem: Half Life: Plasma half-lives of codeine and its metabolites have been reported to be approximately 3 hours,3.983,6.6704,2.3004,0.4771212547196624,0.600210306409328,1.3276666666666668,0.1230890516896656,prodrug,True,1.3276666666666668,True,False
Albuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2083.0,1.6,PubChem,PubChem: Half Life: 1.6 hours,2.124,11.9707,2.2015,0.2041199826559248,0.3271545124094315,1.3275,0.1230345297535066,standard,True,1.3275,True,False
Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,5732.0,2.6,PubChem,PubChem: Half Life: 2.6 hours,1.965,8.1152,1.3808,0.414973347970818,0.2933625547114455,0.7557692307692307,0.1216107932593724,standard,True,1.3231552162849873,True,False
Moxonidine,COc1nc(C)nc(Cl)c1NC1=NCCN1,4810.0,2.25,PubChem,PubChem: half life is 2.2 - 2.3 hours,2.953,7.0883,1.8124,0.3521825181113625,0.4702634469650784,1.3124444444444443,0.1180809288537159,standard,True,1.3124444444444443,True,False
Nebivolol,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,71301.0,12.0,PubChem,PubChem: half life of 12 hours,15.688,6.4633,8.7789,1.0791812460476249,1.1955675806597277,1.3073333333333337,0.1163863346121028,standard,True,1.3073333333333335,True,False
Linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,441401.0,5.0,PubChem,PubChem: Half Life: 4.5-5.5 hours,3.853,3.2186,1.0736,0.6989700043360189,0.585799009013001,0.7706000000000001,0.1131709953230178,standard,True,1.2976901116013495,True,False
Cefotaxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,5742673.0,1.0,FDA,FDA label: half-life of approximately 1 hour,1.295,1.972,0.2211,0.0,0.1122697684172706,1.295,0.1122697684172706,standard,True,1.295,True,False
Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1,4991.0,3.0,PubChem,PubChem: Half Life: 3 hours,2.328,4.2421,0.8551,0.4771212547196624,0.3669829759778508,0.7759999999999999,0.1101382787418116,standard,True,1.288659793814433,True,False
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,28417.0,11.0,PubChem,PubChem: half-life increasing from 11 hours,8.579,2.3619,1.7544,1.0413926851582251,0.9334366678262804,0.779909090909091,0.1079560173319445,standard,True,1.2822007226949528,True,False
Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,3011155.0,3.2,PubChem,PubChem: half-life of 18 minutes and 3.2 hours,2.514,5.7963,1.2616,0.505149978319906,0.4003652733499389,0.7856249999999999,0.104784704969967,standard,True,1.2728719172633256,True,False
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,4171.0,3.5,PubChem,PubChem: half-life of both unchanged drug and metabolites is about 3-4 hours,4.416,7.6862,2.939,0.5440680443502757,0.6450290647211425,1.2617142857142858,0.1009610203708668,standard,True,1.2617142857142858,True,False
Enoxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,3229.0,6.0,PubChem,PubChem: half-life is 3 to 6 hours,4.767,3.4624,1.4291,0.7781512503836436,0.678245151927042,0.7945000000000001,0.0999060984566015,standard,True,1.2586532410320956,True,False
Tazobactam,C[C@@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,123630.0,1.2,PubChem,PubChem: half-life of piperacillin and tazobactam was in the range of 0.7 to 1.2 hours,0.976,3.0372,0.2566,0.0791812460476248,-0.0105501823333081,0.8133333333333334,0.089731428380933,standard,True,1.2295081967213115,True,False
Miglitol,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,441314.0,2.0,PubChem,PubChem: half-life of miglitol from plasma is approximately 2 hours,2.45,2.4049,0.5101,0.3010299956639812,0.3891660843645325,1.225,0.0881360887005513,standard,True,1.225,True,False
Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,4192.0,6.4,PubChem,"PubChem: Half Life: Intravenous, healthy adults = 1.8 to 6.4 hours",5.23,3.721,1.6849,0.8061799739838872,0.7185016888672743,0.8171875000000001,0.0876782851166129,standard,True,1.2237093690248566,True,False
Azlocillin,CC1(C)SC2[C@H](NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,6479523.0,1.5,PubChem,PubChem: half-life is 1.3 to 1.5 hours,1.23,2.1578,0.2298,0.1760912590556812,0.0899051114393979,0.82,0.0861861476162833,standard,True,1.2195121951219512,True,False
Canagliflozin,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,24812758.0,10.6,PubChem,PubChem: half-life of canagliflozin was 10.6 hours,8.877,2.9884,2.2968,1.0253058652647702,0.9482662198802956,0.8374528301886793,0.0770396453844747,standard,True,1.194097104877774,True,False
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2719.0,96.0,PubChem,PubChem: half-life of chloroquine in healthy individuals is generally reported to be 72-120 hr,111.738,8.6683,83.8597,1.9822712330395684,2.048200893650804,1.1639375,0.0659296606112355,multi_compartment,True,1.1639375,True,False
Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,657309.0,1.6,FDA,FDA label: half-life of elimination is about 1.6 hours,1.854,26.8532,4.3115,0.2041199826559248,0.2681097298084783,1.15875,0.0639897471525534,standard,True,1.15875,True,False
Bisoprolol,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,2405.0,5.0,PubChem,PubChem: half-life of 4 to 5 hr,5.658,5.2546,2.5741,0.6989700043360189,0.752662943120972,1.1316000000000002,0.0536929387849532,standard,True,1.1316000000000002,True,False
Ezogabine,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,121892.0,7.5,PubChem,PubChem: half-life = 7.5 hours,8.226,2.2336,1.5909,0.8750612633917001,0.9151887051731564,1.0968000000000002,0.0401274417814563,standard,True,1.0968000000000002,True,False
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,3696.0,16.0,PubChem,"PubChem: HALF-LIFE, 16 HOURS",17.508,10.6733,16.1787,1.2041199826559248,1.2432365379410764,1.09425,0.0391165552851516,standard,True,1.09425,True,False
Procaimide,CCN(CC)CCNC(=O)c1ccc(N)cc1,4913.0,3.5,PubChem,PubChem: HALF-LIFE IS 3-4 HR,3.209,8.0744,2.2433,0.5440680443502757,0.506369717095504,0.9168571428571428,0.0376983272547715,standard,True,1.090682455593643,True,False
Ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,208902.0,1.8,PubChem,"PubChem: half-life of ramelteon (on average, approximately 1- 2.6 hours",1.653,7.6878,1.1002,0.255272505103306,0.2182728535714475,0.9183333333333332,0.0369996515318585,standard,True,1.0889292196007259,True,False
Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,60750.0,1.6,PubChem,PubChem: half-life ranged from 0.7 to 1.6 hours,1.728,5.2012,0.7781,0.2041199826559248,0.2375437381428744,1.0799999999999998,0.0334237554869496,standard,True,1.0799999999999998,True,False
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,33624.0,3.5,PubChem,PubChem: half-life of 3-4 hr,3.733,3.972,1.2839,0.5440680443502757,0.5720579899263045,1.0665714285714285,0.0279899455760288,standard,True,1.0665714285714285,True,False
Ibutilide,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,60753.0,8.6,PubChem,PubChem: half-life (12.5 +/- 10.7 vs 12.4 +/- 8.6 hrs,8.118,5.0192,3.5276,0.9344984512435676,0.9094490469812666,0.9439534883720933,0.025049404262301,standard,True,1.0593742301059372,True,False
Melperone,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,15387.0,6.0,PubChem,PubChem: half-life has been found to be approximately 6 hours,6.18,6.3894,3.4186,0.7781512503836436,0.7909884750888159,1.03,0.0128372247051722,standard,True,1.03,True,False
Vildagliptin,N#C[C@H]1CCCN1C(=O)CNC12C[C@@H]3C[C@@H](CC(O)(C3)C1)C2,6918537.0,1.7,PubChem,PubChem: t 1.7 hours,1.735,7.666,1.1513,0.2304489213782739,0.2392994791268925,1.0205882352941178,0.0088505577486186,standard,True,1.0205882352941178,True,False
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3672.0,2.0,PubChem,PubChem: half-life in plasma is about 2 hr,1.967,2.0128,0.3429,0.3010299956639812,0.2938043599193367,0.9835,0.0072256357446444,standard,True,1.0167768174885612,True,False
Diltiazem Hydrochloride,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,62920.0,3.75,PubChem,PubChem: Half Life: 3.0 - 4.5 hours,3.753,7.4763,2.4296,0.5740312677277188,0.5743785644130824,1.0008,0.0003472966853635,standard,True,1.0008000000000001,True,False
